ags,name
01,Schleswig-Holstein
02,Hamburg
03,Niedersachsen
04,Bremen
05,Nordrhein-Westfalen
06,Übrige Regierungsbezirke (Bundesland)
06,Hessen
07,Rheinland-Pfalz
08,Baden-Württemberg
09,Übrige Regierungsbezirke (Bundesland)
09,Bayern
10,Saarland
11,Berlin
12,Brandenburg
13,Mecklenburg-Vorpommern
14,Sachsen
15,Sachsen-Anhalt
16,Thüringen
DK,Dänemark
LT,Litauen
PL,Polen
RO,Rumänien
ZZ,Übrige Bundesländer / Staaten
ZZ,Einpendler aus dem Bundesgebiet
GR,Griechenland
BG,Bulgarien
LV,Lettland
RI,Indonesien
08,Übrige Regierungsbezirke (Bundesland)
SK,Slowakei
CZ,Tschechien
05,Übrige Regierungsbezirke (Bundesland)
RP,Philippinen
CH,Schweiz
GB,Vereinigtes Königreich
GH,Ghana
HR,Kroatien
NL,Niederlande
UA,Ukraine
IS,Island
SY,Seychellen
MD,Moldau
03,Übrige Regierungsbezirke (Bundesland)
TJ,China
TR,Türkei
ZZ,Auspendler in das Bundesgebiet
ZZ,Übrige Bundesländer
